chemical_cid,uniport_accession
753,P35916
24779724,P08581
115237,Q9Y5Y4
983,Q9NRJ5
70815,P11182
6726,Q9Y5Y4
8172,Q12888
68841,Q9GIY3
7339,P43490
11338033,Q9Y6R4
10250490,P00742
2740174,Q9UQ80
440552,Q9NRR6
888,Q04917
11213558,Q96L34
8060,Q9Y5K2
24864821,P08581
753,Q9Y468
1628,P54829
712421,Q03405
5289613,P14174
30819,P23467
3151,Q12809
888,Q9UM54
10313,P35354
447911,Q92753
5289469,P42892
3540,Q9Y6R4
5329102,Q9Y6R4
5330812,Q9Y6R4
23994,Q02543
888,Q01167
446504,P51512
23994,Q9Y3Y4
888,Q9Y6R4
15295578,Q9Y6R4
750,P22303
5329102,Q9UQM7
753,Q8N4E7
736104,Q9Y5K2
114683,P02788
10976469,Q13526
2995,Q01959
5327066,Q9Y6R4
753,P11413
3702,Q9Y2D0
24752844,Q86TI2
9926791,Q16513
2818,Q9Y5Y4
2120,Q04828
9926933,Q9Y6R4
176870,Q9Y2U5
5330812,Q05655
23994,Q9UI42
11314340,Q9Y6R4
28864,Q9Y5Y4
6436135,Q9Y5Y4
5287969,Q9Y6R4
5329102,Q9Y2U5
23994,Q9UGI8
23925,P69905
9994066,Q9Y6R4
5329102,P22607
4541,P31645
4748,Q9Y5Y4
753,Q9UI42
446845,P31930
5288834,Q9Y6R4
440552,Q15768
5327110,Q9Y6R4
888,Q9Y6Y9
10039403,Q9ULZ9
1935,Q9Y6A2
62156,Q9Y5Y4
216239,P35916
8172,P54652
5362422,Q9UJ71
5656,Q01959
4636204,Q9ULZ9
23994,P09237
753,Q92753
23994,P47224
11992146,Q9BZL6
23994,Q9Y3D2
42615254,P00734
867,Q9UI42
5329102,P51451
71360,Q9Y5Y4
6287,Q9UI42
888,Q9ULW5
4078,Q9Y5Y4
5957,P14625
753,P35225
6386,P62158
2247,Q9Y5Y4
25134265,Q9Y5Y4
753,Q8IWL1
24905153,P42338
156422,Q9Y6R4
6119,Q9Y5K2
753,P22830
23925,P12724
5494425,Q9Y6R4
24905142,Q5S007
448841,P08519
6106,P28838
4456,P22303
23994,Q92794
3062316,P51451
24905142,Q9Y6R4
11291932,Q9Y6F1
3100,Q9Y5Y4
5171,Q9Y6R4
9648,Q9Y5Y4
3492020,P50336
753,Q9UJ70
87901,P07686
9750,Q95365
5329103,P14616
4917,Q9Y5Y4
5326843,P13569
753,Q9Y6R4
24905152,P42338
447700,P42684
888,P12694
273,Q9Y2D0
5362422,P78536
115015,P02766
5430,O14521
2159,Q9Y5Y4
643975,Q709F0
5288834,Q9UBV7
5330812,Q96L34
23994,Q13490
5329103,P51451
888,Q9NVJ2
10172943,Q9Y6R4
3034285,P31930
123619,P35354
70815,Q8NBK3
16757525,Q9Y6R4
449014,P00813
9547935,P08574
447873,Q9Y6R4
1140,P22303
702,P81274
23994,Q9ULW5
3964,Q9Y5Y4
15991573,P35968
60961,Q9Y6R4
3198,P31645
445990,P53611
124886,Q9NS18
2585,Q9Y5Y4
448123,P00734
90263,Q9NP99
753,P12694
753,P35354
1053,Q8TD30
5957,Q6VAB6
119607,Q9Y2D0
2801,Q494W8
441314,P10253
6914629,P0DJD8
888,Q9ULW5
12374,Q13976
5330812,Q9Y6R4
445154,P02766
5287844,Q9Y6R4
5761,Q9Y5Y4
216239,Q9Y6R4
1175,P11217
445713,P53611
5330812,Q9UK32
679,Q92793
24762195,Q9Y6R4
668,P05062
6604229,Q9Y2D0
19910,P07858
4917,P31645
24864077,Q9Y6R4
753,P54652
23994,Q9BX84
2585,Q9Y5Y4
23994,Q9ULD4
5281855,P14616
753,Q95365
5353305,P08519
888,P00734
3034010,Q9Y4D2
753,Q8TF65
446752,Q86XF0
753,Q16772
2160,Q9Y5Y4
753,Q9UKV8
2995,P31645
456214,Q16288
33032,P49448
444108,Q86VZ2
449240,Q9Y6R4
4369380,P42892
4205,Q9Y5Y4
33032,P43005
216239,Q16832
449021,P29475
443884,Q9Y5Y4
753,Q9Y6A2
6419766,Q9Y6R4
9934347,P14616
888,P15309
888,Q99593
8064,Q6JVE9
440552,P16871
5753,Q92753
888,Q5T5U3
123631,Q15303
8172,Q99584
3696,Q9Y5Y4
753,Q99584
1140,P69905
46937053,O15530
8226,Q9Y5Y4
974,P40926
5288113,Q92753
888,Q9UII2
23994,Q14653
70815,Q9Y5K2
123831,Q9Y3Y4
5164,Q9Y6R4
888,O60271
5330812,P51451
5920,Q9Y5Y4
888,Q96DU7
23994,P27694
656986,P22303
888,P50479
11304412,Q9Y6R4
8172,Q9Y5K2
119031,P08253
5330812,Q9Y6R4
16122642,Q9Y6R4
446978,Q9Y5K2
77918,Q9NXS2
23994,Q08426
23994,Q14203
9600423,P00734
11213558,Q15046
4926,Q99720
439407,O95782
5289159,Q9Y2D0
72886,Q9ULD4
5329103,Q14289
446696,P27707
888,Q02880
679,P60174
753,Q9UG22
12560,Q12809
5362422,P51512
888,Q9UGP5
165323,Q9Y2D0
5327154,P54829
54746,Q9Y5Y4
2216,Q9Y5Y4
23994,P16333
66644,P35354
28864,Q9Y5Y4
5405,Q9Y5Y4
888,Q9NY33
387447,Q9Y5K2
5073,Q9Y5Y4
31275,Q9UJ71
23994,Q9NXS2
5004,Q9Y6R4
753,Q9Y5Y6
9547919,P54829
5356,Q9Y2D0
5288834,P28838
753,P16083
888,Q08116
44144383,Q9Y2D0
23400214,Q9Y6R4
5757,P03372
447077,Q9Y6R4
60149,Q9Y5Y4
5312137,Q14289
888,Q9NRR6
679,Q9BV79
5289214,Q08334
23994,Q9BYT8
4636,Q9Y5Y4
753,Q04609
23925,P18054
888,Q9UEW8
5754,Q99574
124886,Q16873
23994,O94972
753,Q12794
4095,P31645
6083,Q9UKU7
3198,Q9Y6A2
5459361,P29017
5287844,P51813
169148,Q7KZF4
2856,Q9Y6M4
888,Q9NRN7
4158,Q01959
753,Q9UMF0
1567,P17676
51,Q9NWT6
5494425,Q16513
23994,Q9ULZ9
5494425,Q13188
444972,P16930
6083,P07205
10343728,P00734
5452,Q9Y5Y4
1547484,Q9Y5Y4
165323,Q9Y2D0
11675645,P52732
11492186,P43405
445840,Q9Y6R4
5329102,G5E948
5494425,Q13976
23897,Q9Y5Y4
23994,Q04609
16040261,P00742
5288834,Q8TF76
5957,Q9Y5Y4
6409,Q9BV79
5329103,Q9Y6R4
888,Q9Y2C4
8515,Q16288
5095,Q9Y5Y4
888,Q9UNN8
1935,Q9UKG9
24905142,P53671
14611919,Q9Y2D0
5494425,Q12852
439190,Q96AT9
447077,Q9P2K8
1567,P37108
23647657,Q9Y6R4
439153,P00414
753,Q16478
2249,Q9Y5Y4
753,P04818
657141,P11217
5479530,Q9NSA0
387447,P49721
753,P54652
445354,Q6JVE9
5289517,Q16478
888,P36542
3371,P02766
4011,Q9Y5Y4
588963,Q86VZ2
6038,Q9Y2D0
3396,Q9Y5Y4
5330812,Q9Y6R4
5329102,Q9Y6R4
72886,Q6UX04
3295,Q9Y2D0
10531,Q9Y5Y4
753,P55072
8172,P51649
5330812,Q16584
1694,Q9Y6R4
6918852,Q9Y6R4
6914621,Q9ULZ9
5002,Q494W8
124886,Q99714
9934347,P16591
888,Q9NRJ5
23994,Q9NVV9
700,P12429
753,Q02246
444965,P05089
23994,Q9Y3Z3
447077,P22455
6324617,Q9Y5Y4
190,P07741
6540255,P53355
23994,Q14432
447534,P51451
753,Q9HBL8
5330812,P53671
12374,P01730
47811,Q9Y5Y4
5578,Q86XF0
5288834,P60880
2913,Q9Y5Y4
11740154,P35228
753,P12724
23925,Q9UPP1
11314340,Q9Y6R4
16750040,Q92731
448632,Q9Y6A2
447411,P54829
23994,Q3LIE5
753,P56381
888,Q9UJ71
6419766,P51451
5289508,P22303
2726820,P08238
18794,Q9Y2D0
753,Q04912
16362,Q9Y5Y4
46937120,Q9Y6R4
124886,O76003
5287737,Q9Y5K2
23994,Q96CA5
888,Q01968
1372,P14555
23994,Q9ULA0
2353,Q9Y5Y4
1649,P35228
6013,P04278
753,Q04828
4543,Q9Y5Y4
3396,Q9Y5Y4
54369,Q86XF0
446504,Q9ULZ9
5288834,Q9BV79
445713,Q92696
23994,P00734
5330812,Q9UK32
447077,P42684
449162,P54829
5991,P31645
3038,Q9Y2D0
5405,Q9Y5Y4
983,Q9NRJ5
5957,O00401
985,Q6JVE9
448537,Q92731
227,P48147
23925,Q5VVH2
447077,P51451
667639,P36542
6024,Q9NSA0
888,Q9HAQ2
5862,Q99574
448537,P03372
1400,Q15303
33032,Q14831
753,Q9Y6R4
5330812,Q9Y6R4
888,P22455
888,P08581
2818,Q9Y5Y4
11213558,Q15303
753,Q9H4G4
6038,Q9Y2D0
11659487,P56817
439407,P31323
6918852,Q9Y6R4
11213558,Q9Y6R4
443884,Q9Y5Y4
6249,Q9NP99
208908,Q15303
23994,P30876
3295,Q9Y2D0
23994,Q8IYW5
124886,Q9Y2D0
6037,Q86XF0
447076,Q16822
3016,Q494W8
440552,Q9NRR6
888,O14949
23994,Q96CA5
888,P51570
68841,O00763
30819,Q13191
3034285,P08574
2513,P62993
4946,Q9Y5Y4
753,P69905
5405,Q9Y5Y4
10224714,P24385
185914,P09960
1567,P07384
5288834,P02511
23994,Q13490
11574606,Q9Y6R4
5288710,Q9Y6R4
5287844,P09619
2803,Q9NSA0
5330812,Q9Y6R4
5311,Q9BY41
679,P53611
24894158,Q9Y6R4
23994,P00156
9934347,Q9Y6R4
888,P49792
6918852,Q9Y6R4
888,P54762
5329102,P51451
9543437,Q9Y6R4
2396,Q9Y6R4
216239,P15056
5459373,Q04771
3055,Q9Y5Y4
447961,Q9Y6R4
5355,Q9Y5Y4
5005498,Q9Y6R4
2406,Q9Y5Y4
5035,Q8N8N7
156422,Q9Y6R4
23994,Q02878
3168,Q9Y5Y4
11314340,Q9Y6R4
3964,Q9Y5Y4
101989,Q92753
5487,Q9Y2I1
6005,Q9Y5Y4
123831,Q16637
68841,Q9UJY5
170018,Q99418
60961,Q9GZV3
8172,Q9HD89
448238,Q9Y6R4
30819,P14616
753,O94925
11524144,G5E948
23994,Q13191
679,P29017
3157,Q9Y5Y4
22690393,P09960
23994,P46063
5734,Q9Y2D0
447077,Q16832
46937045,O15530
24978486,Q96C86
10708341,P09622
753,Q08426
5957,Q9BYN0
11395145,Q92753
2353,Q99720
11500493,P56817
444795,P48443
888,Q9HCR9
16362,Q12809
30819,Q06124
9862248,Q92753
176870,P42684
11143173,Q9UNA0
8172,Q03405
5757,Q9BR01
30819,P22681
446094,P58753
110635,Q9HCR9
5957,P23919
11840904,Q86TI2
11213558,Q12852
439750,Q02221
1667,P16083
9543487,P00734
5288002,Q16478
5314,P22303
3964,Q494W8
5957,P31930
4976,P31645
888,P31323
6604229,Q9Y2D0
8515,Q9Y6R4
449005,P00414
23994,O14773
24762195,Q9Y243
11245700,Q9Y2D0
11987868,Q9H477
753,Q9Y5K2
5287453,P50336
24360,P11387
11213558,P54762
4946,Q9Y5Y4
60795,Q9Y5Y4
888,Q9ULW5
5005498,P35916
8515,Q9Y6R4
3100,Q9Y5Y4
5330812,Q8IYT8
888,P01024
1060,Q16822
446073,P50395
23994,O15550
2014,Q9Y5K2
46937096,Q8N0W4
4470790,P16083
447961,Q9Y6R4
6102824,P52732
24794406,P00742
679,P00742
1567,Q99574
753,Q9UBP6
445319,P35228
4848,Q9Y5Y4
5327155,P54829
449126,P00734
47811,Q9Y5Y4
25011729,P51451
888,Q8TEA8
170018,P05089
2585,Q01959
446094,Q12852
23994,O14777
888,Q9NWT6
5289418,P22455
2818,Q9Y5Y4
5881,Q9BR01
985,Q6JVE9
5035,Q9Y5Y4
28864,Q9Y6A2
2406,P49448
753,Q9BQG1
753,O43809
5326888,P08709
6140,P05187
753,Q8IUH5
10397869,P56817
448009,Q9H3D4
445383,P11217
3715,P10145
5329103,Q9UK32
888,P60880
87031,Q9Y6R4
23994,P47985
46937133,P55212
23994,Q9GIY3
18794,Q9Y2D0
5329102,Q9UK32
444732,Q9BY41
6726,Q9Y5Y4
8515,Q9Y6R4
888,P12694
23994,Q9UBE0
3034010,Q13093
85466,Q9Y6R4
23994,P62847
221493,P00414
11395145,P37231
8761,P05089
6726,Q9Y5Y4
5329103,Q9Y6R4
23994,P08294
753,P02766
23994,P49356
4926,Q9Y5Y4
2818,Q9Y5Y4
456255,Q9NSA0
170018,Q9NVJ2
25134252,P56817
753,O60341
3540,Q9Y6R4
129211,Q9Y5Y4
2913,Q9Y5Y4
5494411,P21673
8515,P36888
6274,Q96QZ7
4708,Q15303
16058637,Q9Y6R4
5288834,Q9Y6R4
888,Q96QT4
444612,Q9Y2D0
3198,Q9Y5Y4
5288217,P02766
5327013,Q16831
5312804,Q15067
3372,Q9Y5Y4
753,P06731
5287969,Q9Y6R4
23994,Q13822
439750,P47985
124886,Q9UJ71
156422,P42684
392622,Q9Y5Y4
2370,Q9Y5Y4
4114,Q9Y6A2
5288834,Q99574
6604229,Q9Y2D0
8172,P22303
1567,Q9BY41
6322,P35228
132519,P51512
5329102,Q9Y6R4
2406,Q9Y5Y4
9934347,P16591
753,Q9HBA0
447562,P53611
1567,Q99574
888,P25098
5494425,Q9Y6R4
5288067,P00734
5329102,P16591
439153,P51649
5957,P23381
5329102,Q9Y6R4
5287844,Q16288
2913,Q9Y5Y4
5287855,Q9Y6R4
80654,Q9BV79
10972974,P14927
5326843,Q9Y6R4
379,Q5VVH2
4601,Q9Y5Y4
11960529,P09874
124886,Q9H4Y5
753,P78417
5960,Q13029
23994,P05089
983,Q8NFM4
753,Q8IWL1
5330812,Q9Y6R4
5329103,Q13188
888,P54619
5452,Q9Y5Y4
888,Q9UBZ9
644213,P37231
24901723,Q9Y6R4
4469805,P16083
679,P0DJD8
888,Q08AH3
45273683,Q9Y6R4
2396,Q9Y6R4
6267,P01574
5289085,P08574
5329103,Q96L34
3016,P51161
888,P43405
888,P08238
9969613,P35228
446094,Q04864
23994,Q02156
4449,P31645
5280863,P35869
5355,Q9Y2D0
67361,Q9Y5Y4
11149707,P35228
6013,Q04828
23994,Q9H0R8
1567,Q9BZI7
9925908,P09874
4926,Q9Y5Y4
2513,P16930
753,Q9NTG7
17754054,P11498
170018,P37231
3062316,P51451
3468,Q9Y5Y4
5329103,P14616
9862248,Q92753
9549180,P03372
6083,Q9Y6R4
5413034,P21964
23994,P26368
2761494,P07858
5329102,Q9UK32
2170,Q9Y5Y4
45270264,Q9Y6R4
24180719,P15056
5452,Q01959
440552,P14210
5289247,P48736
888,Q9HAQ2
5862,Q9UGB7
1567,Q16478
2247,Q01959
5288834,Q9Y3B4
679,P08238
753,Q08881
444763,P54829
23994,P02511
445713,P49356
888,Q15835
447077,Q96D53
11149707,P35228
31721,P50336
8179,P22303
4543,Q9Y5Y4
448062,Q9Y5K2
11987846,Q92731
2776332,P09960
6128,Q16772
145742,Q9NW38
24768547,Q9UHL4
125132,Q9Y275
750,Q9NRK6
3647,Q16478
888,Q8TAA3
24768560,P09960
3519,Q9Y5Y4
446845,P14927
2179,Q12809
5833,P06401
903,Q9Y5Y4
30819,P52630
440552,Q9UBV7
5994,P51161
23644582,Q9Y6R4
24180719,P51451
44422489,P51451
6323527,Q9Y5K2
24856363,Q9Y6R4
10531,Q9Y5Y4
5584,P31645
5326739,P51451
23925,Q96LZ3
439693,P00813
447652,Q9Y6R4
445354,Q6JVE9
5002,Q9Y5Y4
3922,P48443
3559,Q9Y5Y4
387447,P49721
5957,Q9Y376
2723698,P07858
4634,Q9Y5Y4
888,Q92913
888,P07741
4449,Q9Y5Y4
4078,Q12809
643975,Q9UBK8
24812721,P08238
6604229,Q9Y2D0
4893,Q9Y5Y4
888,Q12756
888,Q07889
3494,Q9Y5Y4
9547923,P00742
753,P30049
447958,Q9Y6R4
72886,O75688
398148,Q9Y6R4
6230,P06401
2856,Q9Y6R4
11524144,P51451
23586040,P00734
62452,Q02127
6005,Q9Y5Y4
11957380,P00734
448580,P47985
776315,Q13526
753,P62987
2818,Q9Y5Y4
5957,Q9UKV8
753,Q9Y2U5
753,P69905
5957,Q9UBT6
61207,Q9Y5K2
753,P49959
5330812,Q13464
11524144,P51451
445953,Q9Y6R4
888,O15144
1103,Q9Y2D0
5494425,Q5S007
1935,P22303
2119,Q9Y5Y4
3715,Q8N8N7
753,P26368
753,Q9UQ80
753,Q14573
11524144,Q16620
23994,P68036
5957,P24385
10157080,P35228
11213558,P10721
5289529,P08519
888,P54278
4369524,P06401
867,P01730
4917,Q9Y5Y4
11840970,P43235
447701,P19021
67532,P19235
30819,P43405
5329102,Q9Y2U5
753,Q8TDZ2
2160,Q9Y5Y4
36811,Q9Y2D0
5329102,P10721
227,P14920
5284627,Q9Y2D0
446094,P09601
23994,Q99574
753,P55809
10258,P02768
128564,P09237
65249,P14854
449120,Q6UX04
439356,P23381
444108,P49356
124886,P48637
16362,Q9Y5Y4
6102812,P37231
4011,Q9Y5Y4
23994,P12724
1881,Q86XF0
643975,Q06278
753,Q53EL6
5572,Q9Y5Y4
4066,Q9Y5Y4
5289419,Q16620
3372,Q9Y5Y4
888,Q14344
9933197,P51512
888,Q9UMF0
888,Q9HAQ2
942,Q494W8
156391,P02788
8182,P53611
11213558,P51451
1567,Q9NVS9
15991547,P11217
2788,Q9NWT6
4184,Q9Y5Y4
4100,Q9Y2D0
888,O43683
2396,Q16288
170018,Q13107
5472,Q99720
750,P01909
124087,Q9Y5Y4
2812,Q9Y5Y4
51,Q5SRE7
3371,P35354
3510,Q494W8
888,Q9Y6M4
1051,Q9Y600
5287728,Q9Y6R4
16362,Q9Y5Y4
753,P07602
23994,Q9Y6R4
980,P05187
11963546,P0DJD8
888,Q08334
753,Q8NHR9
888,Q9Y259
753,Q9Y6R4
30819,Q8WUJ0
5327073,Q9Y6A2
4927,Q9Y5Y4
445883,P19174
23994,Q96BT7
23994,P62987
3468,Q9Y5Y4
5960,Q7L266
11608401,Q9Y6R4
5494425,Q9Y6R4
8761,Q9Y2D0
5775,Q9Y5Y4
888,Q6P587
936,Q8NCW5
444795,Q92753
23648296,P43235
446845,P00156
446094,Q04864
447962,Q9Y6R4
10403821,Q92731
447256,Q86TI2
60149,Q9Y5Y4
193653,P62987
448043,Q9Y6R4
65063,P12724
5355,P98153
23994,Q9Y2D0
445992,P53611
11963557,Q9Y6R4
5452,Q9Y5Y4
47811,Q9Y5Y4
17754075,Q9ULJ8
6090,Q9Y5Y4
5289419,G5E948
1986,Q9Y2D0
5312137,Q6PHR2
9750,Q95365
4636,Q9Y2I1
5734,Q9Y2D0
92105,Q9NRR6
54746,Q9Y5Y4
888,Q6ZUT9
21439,Q9Y5K2
5566,P63316
4946,P31645
5329103,Q9UM73
753,P25440
60795,Q9Y5Y4
156422,Q9Y275
888,Q9UDW1
23994,P63098
90263,P51665
5494425,Q9Y6R4
753,Q95365
14205264,P30153
445953,Q9Y6R4
3758,O60658
23994,Q16611
448503,Q9Y5K2
221493,Q9BV79
983,Q8NFM4
25210478,P02766
2247,P31645
1103,Q9Y2D0
13493,Q9Y5Y4
657085,P05089
888,P22102
888,Q9ULW5
65999,Q9Y5Y4
888,P54829
11245700,Q9Y2D0
4369172,Q9Y2D0
23994,Q9H6I2
3062316,Q9Y6R4
6140,P01185
11213558,P51451
3062316,P54762
23994,Q99798
11213558,P22455
31275,Q9GIY3
3100,Q9Y5Y4
72886,P43235
753,Q99574
888,P15954
4020,Q01959
31275,Q9UBV7
1053,Q8TD30
753,Q9GIY3
98487,P09874
753,Q92753
5288834,P19883
24180720,P15056
753,P25440
5035,Q9Y5Y4
5288598,Q16478
888,Q9UJ71
3758,Q14432
132302,Q9BV79
888,Q9BX84
448903,P00813
5957,P36542
3598,Q9Y6R4
888,Q9Y6R4
5288834,P54829
888,O60610
10450624,Q04828
753,Q16873
702,Q9Y5K2
4636,Q9Y5Y4
3157,Q9Y5Y4
5362422,P14780
753,Q99685
888,Q04917
72886,Q8NHP8
2801,Q9Y5Y4
753,Q9Y6R4
5329103,O96017
1103,Q9Y2D0
15391,Q9Y5K2
4436,Q9Y5Y4
6852128,Q9Y2D0
10972974,Q9UDW1
5494422,Q86TI2
43815,Q9Y5Y4
440552,P17050
446399,Q9Y5K2
753,Q16877
446541,P20839
447638,P24385
888,Q01064
23994,Q99496
5568,Q9Y5Y4
5326739,Q9Y6R4
4456,P22303
31275,Q14315
23270857,P16083
1400,O43353
314123,Q9Y6R4
753,P14866
23994,Q9UK80
5754,P04150
446504,Q9ULZ9
4893,Q9Y5Y4
1331,P29475
221493,P15954
5329102,Q14289
23994,P56524
753,Q9UDW1
3991,P22303
753,Q16740
92745,P48443
8515,Q9Y6R4
439455,Q9BRR9
5330812,Q9Y6R4
5288615,P08253
753,P08514
24178109,Q9ULZ9
5280863,Q99714
14925,Q99798
3337,Q9Y5Y4
5494425,Q9Y6R4
9925908,Q9Y6F1
888,Q96Q83
4174,Q9Y6A2
3696,Q9Y5Y4
5330812,Q9Y6R4
867,Q7L266
23994,P04637
11957417,Q9NYY3
753,P08519
3034010,O00519
1051,P34896
23994,Q7Z4I7
23994,P62888
3033538,Q9Y5Y4
12229396,Q9Y6A2
5288834,Q9NP99
24875302,P37231
5330812,Q9Y6R4
6409,Q9Y5K2
888,P54687
