chemical_cid,uniport_accession
97297,Q8TF76
8172,Q13332
5312137,P51451
11213558,P35916
13847,P22303
46937030,P00734
23994,Q7Z4I7
1400,P51451
753,P69905
23994,Q9UPP1
5330812,Q9Y6R4
753,Q6JVE9
447077,P42684
753,Q8IU57
24417,P51161
5326739,Q9Y6R4
5288834,P00742
6083,Q8IV48
62258,Q01959
4485,Q9Y6A2
5329103,Q9UQM7
6230,P03372
5288139,Q9Y5K2
23994,Q14432
447278,P53611
111509,Q5VVH2
753,Q9Y275
4659569,P21964
1547484,Q9Y5Y4
8747,Q9Y2D0
8058,Q9NZD2
23994,P56817
11138,P69905
394347,P16083
23994,Q16611
643975,P11182
4369424,Q9UHY7
23994,Q9BV79
10257,Q9Y5Y4
888,P17540
123619,P02788
5487313,Q9ULZ9
448976,P08238
6305,P23381
23994,Q15436
165323,P98153
8182,Q9Y6R4
5401,Q9Y5Y4
9804302,Q9Y2D0
888,Q9NRR6
23925,Q16665
10367,P61626
5289247,O15146
1567,Q6MZZ7
2797541,Q04828
4528,Q01959
5312125,Q9Y5Y4
65999,Q9Y5Y4
5754,Q99574
79084,P69905
753,P55087
3598,Q92731
440552,Q3ZCW2
1567,P49441
888,Q14432
6409,Q9BV79
23994,O60658
439153,Q02221
25011728,P54760
2513,Q16478
753,Q9ULW5
753,Q9NRJ5
888,P49721
25174099,Q9ULZ9
2726,Q9Y5Y4
11507040,O60502
4926,Q9Y6A2
5870,P03372
5329103,Q9UQM7
23994,Q96HD9
753,P12724
41693,Q9Y5Y4
23994,Q9UJ41
753,Q9HB20
10531,Q9Y5Y4
1567,Q13432
888,Q9ULW5
55245,P04150
2913,Q9Y5Y4
4566,Q9Y6R4
5289419,Q9Y6R4
5330812,Q99683
5312137,Q9Y616
65249,P00403
8172,O00519
6914625,P0DJD8
3468,Q9Y5Y4
5329102,P14616
888,Q9NVP1
3559,Q9Y5Y4
888,Q9UMF0
6540268,P00734
439153,P09669
5957,Q14289
1567,Q8WVN8
753,Q99574
5073,Q9Y5Y4
439153,Q06278
10430,P0DJD8
3100,Q9Y5Y4
23994,P29017
5326739,P14616
23653500,Q9UI42
3973,Q9Y5Y4
3064778,Q13464
30819,P43405
11553058,Q12852
23994,Q9BQD3
888,Q9ULW5
688424,Q9Y2D0
3295,Q9Y2D0
753,P01024
5326739,Q9Y6R4
888,Q9ULW5
5358,Q9Y5Y4
23994,P43235
1103,Q9NUW8
888,Q15375
2662,Q9Y2D0
23994,Q9NYY3
170018,P04818
2733514,P29475
688424,Q9Y2D0
440552,Q86SR1
4917,Q9Y5Y4
2818,Q9Y5Y4
170018,Q13432
4735,Q9Y5Y4
888,O60658
347590,P29475
440717,Q16822
3062316,P51451
753,Q99728
888,Q8TF42
888,P00156
60795,Q9Y5Y4
4932,Q9Y5Y4
1567,Q8WTS6
16758228,P08519
132519,Q9ULZ9
888,Q16831
5312137,Q9Y6R4
5329103,Q9Y6R4
753,P04080
11213558,P53355
888,Q9Y5K5
132519,P51512
753,P43235
753,P23434
753,Q9BV79
46937056,P00734
750,Q8TCU5
44308490,Q02156
448011,Q92753
449241,Q13976
6436219,Q9Y615
750,Q9UQM7
888,Q9Y3B4
216239,O15146
16630,Q01959
6102822,P09467
2153,Q9Y5Y4
97032,Q9BR01
68841,P14921
888,Q9HAQ2
4748,Q9Y5Y4
9547935,P00156
5329102,Q9BZL6
23994,P55789
5484727,Q9BYF1
4926,Q9Y5Y4
24905142,P42345
5288173,Q6JVE9
3372,Q9Y5Y4
985,Q8NC06
25113614,P00734
5329103,Q9Y616
753,Q9Y2D0
5960,Q9Y5K2
5289419,Q9P0L2
888,Q9ULW5
3337,Q9Y5Y4
3016,Q9Y5Y4
5288259,P43235
11213558,Q9Y6R4
5329103,P29376
6083,Q8TF76
15906,Q16772
3964,Q9Y5Y4
2247,Q9Y5Y4
15897928,P03372
23994,Q9NRG4
2160,Q9Y5Y4
753,Q9Y5K2
5533,Q9Y5Y4
5002,Q9Y5Y4
5330812,Q16288
3042,Q9Y5Y4
753,Q9ULW5
643975,Q9UKU7
753,Q6B0I6
3062316,Q9Y6R4
2170,Q9Y5Y4
5329102,P35968
5494425,P43405
447721,Q9Y6R4
5472,Q9Y5Y4
24851689,Q9Y6R4
2170,Q9Y5Y4
753,Q9NP99
4636,Q9Y5Y4
23994,P08100
6305,P23381
1400,P42684
3696,Q9Y5Y4
11691442,Q9Y6R4
23994,Q9BV79
4369141,Q9ULZ9
456214,Q9Y6R4
24905153,P42338
68841,Q9HCE7
5291,P31645
24066,P61073
6083,Q08AH3
5002,Q9Y5Y4
1701,Q86TI2
5994,Q6JVE9
9934347,Q9Y6R4
753,P00734
888,Q13418
1060,P14555
5287844,Q9UK32
4044,Q04828
439153,P20674
4893,Q9Y5Y4
59768,Q9Y5Y4
753,Q9BY49
4368,P14780
5289419,Q5S007
6262,P05089
3386,P31645
5330812,Q9Y6R4
4369285,P21964
338,P02768
124087,Q9Y5Y4
3157,Q9Y5Y4
753,O15118
702,Q6JVE9
753,P08238
23925,Q9UPP1
33032,Q16478
448002,Q9ULZ9
753,Q99574
4566,Q9Y6R4
30819,P68036
760,Q9Y617
5287610,P23526
439744,Q8NHR9
679,Q9Y6R4
23897,Q9Y5Y4
6420121,P34913
5289339,Q9Y5K2
4735,Q16853
31275,Q9GIY3
165339,Q9UBQ7
753,Q99714
448173,Q5VVH2
5330812,Q9BZL6
753,Q08AH3
6119,P00734
92105,Q8NHR9
2801,Q9Y5Y4
23994,Q9BVA1
9547900,P37231
753,P53990
446504,Q9ULZ9
447682,Q9Y6R4
227,P62993
3825,P35354
4926,Q9Y5Y4
6852147,Q9ULZ9
11955614,Q14432
151170,Q14432
753,Q9UGP5
22298966,P11217
888,Q9Y478
3372,Q9Y5Y4
16362,Q9Y5Y4
11175137,Q9Y6R4
753,Q01524
25113157,Q04609
23994,P62913
37464,Q9Y5Y4
447077,Q16832
1188,Q06278
3520,P32418
753,Q9BQG1
3758,Q14432
4932,Q9Y5Y4
4011,Q9Y5Y4
8226,Q9Y5Y4
5438,P08519
5494425,Q13188
888,Q99418
712421,P01909
23994,P35222
43815,Q01959
11338033,Q9Y6R4
9934347,Q9Y6R4
449005,P14927
6419766,P36888
11245700,Q9Y2D0
5494425,Q9NYY3
90206,Q15223
753,Q9Y275
6119062,P08519
24892821,O00519
3062316,P10721
11338033,Q9Y6R4
439260,Q9Y5Y4
23925,Q9BY41
888,Q9Y6R4
115237,Q9Y5Y4
9305,Q6PHW0
60149,Q9Y5Y4
5757,Q92731
165339,Q99497
888,Q6JVE9
1051,Q9H477
23994,Q04721
439750,P15954
5326979,Q9ULZ9
30819,Q9Y6R4
11338033,Q9Y6R4
16078,Q9HBA0
11524144,Q04771
25113125,P00734
974,P40926
23994,P16455
888,Q9NP99
1175,Q06278
11213558,Q6PHR2
23994,Q9GZT9
702,P09874
379,O95445
888,Q16877
5288988,P43235
11574606,Q9Y6R4
888,Q99436
11524144,P42684
43815,P25098
60149,Q9Y5Y4
23994,Q13620
5494425,Q9Y6R4
24180718,Q9Y6R4
753,P10646
4932,Q9Y5Y4
4212,Q9NRK6
5287844,Q16584
24905152,P78527
21307,P21912
750,Q14957
11069133,Q9Y2D0
11572962,Q86TI2
3062316,Q9Y6R4
23994,Q9UI42
5329,Q86XF0
5962,P05089
2513,P02766
5291,P98153
23653507,Q9UI42
888,P05026
5862,P00451
156422,Q16832
2435,Q9Y5Y4
867,P40926
753,Q95365
11586735,P56817
17754220,P00973
888,Q13011
68841,P31323
3042,Q9Y5Y4
445463,Q08188
5326739,Q15078
447655,Q9Y6R4
5289314,Q9ULZ9
449005,P24310
446845,P08574
165879,P23467
983,Q9NWX6
6852154,P03372
17758920,P54829
8515,P51451
888,Q86VZ2
753,Q92913
679,P13497
888,P47736
888,P48047
448087,P42892
45270264,Q9Y6R4
15627868,P02766
888,O95149
5862,Q9Y4I1
8515,Q9Y6R4
23994,Q8IUQ4
753,Q08334
25220914,P00734
888,O15530
5957,P02774
985,Q9UMR5
82146,P37231
888,Q86VW2
1051,Q8TD30
753,P01730
867,P21912
14899645,Q92753
13472,Q9Y6A2
23897,Q9Y5Y4
68844,Q9Y2D0
448002,P14780
35370,P11217
9547959,P54829
23994,P29017
5566,Q9Y5Y4
888,Q92692
3702,Q9Y2D0
24905142,O75116
446541,P20839
23994,P62753
753,P54829
888,O43252
28864,Q9Y5Y4
4095,Q9Y5Y4
941361,Q9Y5Y4
6914626,P0DJD8
448110,P04183
2247,Q9Y5Y4
90263,Q96PD5
5362422,Q9ULZ9
446242,Q9Y2D0
5287844,Q07912
888,Q7L804
5330812,P16591
239,P25705
888,O75460
4184,Q9Y5Y4
30819,Q05655
5289314,Q9ULZ9
2153,Q9Y5Y4
5798,Q9ULW5
888,Q13255
753,P40337
23994,Q9ULZ9
46937068,P02768
448009,P48147
379,Q9Y6Y9
448400,P14324
23994,P08253
10917,Q9UKG9
3827,Q9Y5Y4
60795,Q9Y5Y4
2170,Q9Y5Y4
753,P46934
23994,Q13107
1567,Q16772
4369413,Q9Y2D0
3519,Q9Y2I1
3961,Q9Y5Y4
702,P16157
5312137,P62158
16750059,Q86TI2
888,P43490
446504,P51512
23994,P18146
261000,P06401
3055,Q9Y6A2
158397,Q16478
23994,Q9H361
25271577,P00734
11481186,Q3ZCW2
444894,Q8NFM4
51,Q9UPP1
1051,P11217
5757,P04278
11790,Q9Y5Y4
3386,Q99720
11213558,Q12852
379,P63316
5329103,Q9UK32
6419766,P08922
753,Q14764
9549217,P40261
289,Q6JVE9
6305,Q9UKV8
446242,Q9Y2D0
5287844,Q9Y6R4
753,O15455
23994,Q7Z3T8
3339,Q9Y5Y4
3062316,O43353
23994,Q9H3D4
5289289,P50336
53232,P20702
753,Q9Y600
753,P22455
5287467,P49356
6228,Q9ULW5
23994,Q9NTG7
5327109,Q9Y243
193653,P04080
68841,O60942
5287541,Q9Y2D0
11524144,O43353
4011,Q9Y5Y4
7054,P50336
5994,Q92753
124886,P78417
6102690,P03372
25174101,P51451
2968,Q9Y5Y4
23994,P60880
6852209,Q9Y6R4
941361,Q9Y5Y4
6419766,Q16620
2247,Q9Y5Y4
5326739,P07949
40539,Q16478
46937152,Q86XF0
10401956,P51451
2585,Q9Y5Y4
867,P51451
753,Q8WUJ0
679,Q5VVH2
753,Q9P1Q0
68841,Q9Y6R4
447962,P24385
643975,P50336
46936633,P11217
5289085,Q9UDW1
165339,Q9BY49
24905142,P42684
16058639,P54829
28864,Q9Y5Y4
4828,Q9Y5Y4
753,P48740
123982,P42892
444412,Q14749
679,Q9Y2D0
5288834,Q14653
446696,P18858
5287855,Q9Y6R4
753,Q9H4P4
4100,Q9Y2D0
23994,Q9NZK5
4932,Q9NRK6
753,P54829
888,Q15843
5329103,Q9P0L2
216239,P36888
11524144,Q9Y6R4
5192,P69905
679,Q9Y5K2
92249,Q9BY41
8063,Q9Y6R4
23994,P14854
72886,Q9UPY3
753,Q02880
24905153,P48736
888,Q14807
208908,Q15303
5326826,P03372
753,Q9ULJ8
122623,P48147
5593,Q9Y5Y4
24748050,P56817
888,P14927
15130,Q9Y5Y4
2801,Q9Y5Y4
23994,Q16772
5329102,P07949
165339,Q04917
440046,P14920
216239,Q9Y6R4
5329102,Q9UQM7
2733779,Q9Y2D0
3396560,P22303
443388,P04818
5253,Q9Y5Y4
867,Q9Y6K8
5111,Q9ULZ9
23994,Q9Y5K2
24894130,P36888
3151,Q9Y5Y4
23647358,P07858
445843,P00734
2403,Q09013
128600,P02766
124886,P04818
16758226,Q92731
5329102,P42684
447725,Q9Y6R4
2995,Q9Y5Y4
445501,Q5VVH2
5289336,Q9Y5K2
4488,Q9HBL8
11245700,Q9Y2D0
23994,P15918
888,Q99685
169148,Q16637
4011,Q9Y5Y4
1051,Q9GZT4
8226,Q9Y5Y4
187,Q9Y5Y4
5329102,Q9H2G2
1547484,Q9Y5Y4
643975,Q9UKU7
446094,Q3ZCW2
753,P20702
23644582,P51451
23994,Q9H3R0
2513,Q14315
2818,Q9Y5Y4
6083,Q14432
753,P07311
23994,P24310
5287969,Q9Y6R4
5950,P40926
5709,Q9Y5Y4
1829,P54829
6006216,P37231
888,P63165
23994,Q9Y6K8
10114365,P00734
1005,P12955
119607,Q9Y2D0
5733,P35354
1792,P08709
753,Q01524
2541,Q9Y5Y4
44629555,Q9Y6R4
443884,Q9Y5Y4
11790,Q9Y6A2
753,Q9NTJ3
2119,Q9Y5Y4
25021186,P29475
439153,P51659
23994,P15927
5405,Q9Y5Y4
5329102,Q9Y6R4
888,Q9GZU7
125132,Q14432
439246,Q9Y6A2
9923,Q9BV79
5950,Q9Y5K2
4908,Q9Y6A2
8172,Q9Y223
5362422,Q9ULZ9
753,Q95365
104758,P04818
11633167,P56817
119607,Q9Y2D0
753,Q9UPP1
60795,Q9Y5Y4
5210,Q01959
753,Q04828
753,Q03591
33032,Q05586
60149,Q9Y5Y4
753,Q8NCD3
753,Q95365
753,O00519
6419766,P07949
4149241,P34913
753,Q9BR01
2170,Q9Y5Y4
11507920,P56817
443884,Q9Y5Y4
2585,Q9Y5Y4
888,P31323
4919,Q9Y5Y4
216239,Q16832
753,Q9Y615
1400,Q16620
753,Q9GIY3
753,Q86TI2
439750,O14949
445018,Q9ULZ9
888,P35914
23994,Q08881
190,P11217
445715,P28838
1051,P11926
1567,O14727
8076,Q03405
259994,Q96RS0
1836,Q9ULZ9
165339,Q13162
5329103,Q9Y6R4
31275,Q9Y6I3
8515,Q9Y6R4
888,P00742
3342298,Q9ULZ9
681,Q9Y5Y4
60825,P27707
5494425,Q9Y6R4
5312804,Q9Y6Y9
10308106,P18054
9547890,Q9Y6R4
439501,P13637
447077,Q9Y6R4
165331,P22303
5330812,P07333
5284592,Q9Y5Y4
3468,Q9Y5Y4
447733,P08519
12374,Q15223
8223,Q9Y5Y4
68841,P12694
134856,Q3LIE5
6420119,P34913
446073,Q9ULW5
444853,P25705
24239,P35228
441383,Q9Y5Y4
753,Q9H2K2
337359,Q04828
16362,Q9Y5Y4
5287587,Q6UX04
2141,Q9Y5Y4
165331,Q9Y6R4
888,Q9BZX2
6287,Q9Y5K2
753,Q9BZP6
446237,Q9Y2D0
4100,P98153
16043304,Q9Y243
888,Q15835
456214,Q9P286
654376,P30613
23994,Q9Y2D0
379,Q6JVE9
753,Q9H0N5
753,P60174
68841,P25054
11213558,Q9P286
753,O75916
71360,Q9Y5Y4
11069133,Q9Y2D0
753,Q9HCN6
23994,P22681
11171679,Q9Y6A2
447950,Q04828
3675,Q16853
171548,Q9UPN6
187,P22303
888,Q8TF76
31275,Q9Y275
1567,P06744
6005,Q9Y5Y4
5329102,Q9Y6R4
5330812,Q9Y6R4
8172,P52179
165331,P11172
753,Q9HCE7
888,Q14432
4369496,P42684
9926791,Q12852
4369379,Q9Y6R4
107765,Q9Y5Y4
753,Q9UBC0
888,Q9ULW5
985,Q8IUR0
867,P07203
8223,Q9Y5Y4
5330812,Q9Y6R4
2585,Q9Y5Y4
753,Q9UI42
4893,P16083
888,Q96KP1
10531,Q9Y5Y4
60795,Q9Y5Y4
448002,Q9ULZ9
1567,Q92820
6128,Q16772
2708,Q16772
3559,Q9Y5Y4
156422,Q15375
2856,Q9Y6M4
1567,P68036
888,Q96RG2
11992146,Q9Y6R4
888,Q9NVJ2
448062,P00742
10062713,P43235
753,Q92913
2513,Q53H82
753,Q8WWV3
170018,P46060
23994,Q96FJ0
5289419,Q9Y6R4
100714,P34059
68841,P42684
888,Q14344
154575,Q14432
644241,P54764
110634,Q9HCR9
449156,Q04828
165339,Q96T60
5288573,Q8NHR9
980,Q9BR01
888,Q8N4E7
5472,Q9Y6A2
5326739,Q16584
448605,Q9Y5K2
3034285,P31930
2160,Q9Y5Y4
456214,Q9Y6R4
46937097,P14555
753,P51649
888,Q9NZN4
447638,Q9Y6R4
5356,Q9Y2D0
656917,P08100
11852,P02766
17749735,P56817
753,Q9BV79
20689,P22303
3386,Q9Y5Y4
2386,Q9Y5K2
6102820,P09467
439750,P20674
4205,Q9Y5Y4
449240,Q9Y6R4
11524144,Q9Y6R4
11634458,P00742
969472,Q494W8
657141,P11217
24851688,Q9Y6R4
3062316,Q07912
3702,Q9Y2D0
2905,Q9Y5Y4
23994,Q96I99
753,Q14677
5288371,P49366
5330812,P42684
439278,P13929
5287495,P02766
679,Q9Y5P4
5330812,Q16584
6610318,P07858
11069133,Q9Y2D0
36314,Q9BVA1
5152,Q9Y5Y4
6230,P04150
888,Q9NRK6
8078,Q9Y5K2
447077,Q15375
24905152,P42345
11213558,Q8TD19
439153,P15954
28864,Q9Y5Y4
3345,Q9Y5Y4
936,Q10588
5880,Q99714
28864,Q9Y5Y4
165339,P08294
3520,Q8NBZ7
23994,P08574
2812,Q9Y6A2
8172,Q99418
980,Q7Z4J2
753,Q9GIY3
6057,P01185
2801,Q9Y5Y4
753,P39687
60149,Q9Y5Y4
23653530,P08519
440552,P14210
4470573,Q16831
446934,P04278
5957,Q9HBA0
5687,Q9Y6R4
24466,Q86XF0
9821178,Q14432
64727,P04035
23994,Q9NZ08
1854,P54829
5288834,P02751
753,P11217
5329102,Q9Y6R4
23897,Q9Y5Y4
6603746,Q14432
888,Q13464
446845,P07919
12374,Q9C005
5287844,P51451
5329102,Q9Y6R4
668,P21695
22489160,Q16478
447077,Q15303
1567,P18848
165339,P35968
5734,Q9Y2D0
165879,P34059
753,P35222
444795,P48443
47811,Q9Y5Y4
679,P00734
5330812,Q16513
23994,Q9GIY3
6083,Q9H361
3672,P35354
31275,P08833
165323,Q9Y2D0
23644529,P05089
888,Q9UBE0
3672,P10145
17429,Q9BV79
2801,Q9Y5Y4
449087,Q9Y6R4
11524144,Q9Y6R4
4828,Q9Y5Y4
60149,Q9Y5Y4
888,Q9NVJ2
123831,P55895
1050,Q9H477
3151,Q9Y5Y4
23994,P61218
449005,Q02221
30819,Q9Y6R4
23994,P31323
7389,P61626
5280343,Q9Y6R4
23994,Q9H461
40539,Q16478
753,Q9HCR9
23994,Q9ULW5
216239,Q9H2G2
5753,Q05940
888,Q9ULW5
5327109,Q9Y6R4
16757525,Q9Y6R4
23994,P35625
6468,Q9UHL4
46937073,P69905
888,Q9NQL2
6386,Q9UM54
4158,Q01959
65094,O15118
5950,Q6UX04
5960,Q9Y5K2
5288834,P35228
2726,Q9Y5Y4
8226,Q9Y6A2
60919,Q9Y5Y4
888,Q9ULW5
23647652,P24385
753,Q9BWD1
216239,Q9Y6R4
11790,Q9Y6A2
273,Q9Y2D0
11213558,Q9Y6R4
25190761,Q9Y6R4
753,P51687
5005498,Q9Y6R4
702,P62158
23994,Q9Y5K2
4976,Q9Y5Y4
5288834,Q16623
440552,Q9Y286
2856,Q12866
444581,Q9Y5K2
5073,Q9Y5Y4
24883477,P11217
23994,P00414
23994,P42892
446018,Q9UI42
445940,Q9Y6R4
11338033,Q9Y6R4
440552,Q3ZCW2
65249,P00395
25113615,P00734
84815,P09327
67361,Q01959
165339,Q2TBA0
3157,Q9Y5Y4
68841,P01909
753,Q9H299
643975,O14521
753,Q9UBQ7
888,Q16654
5951,Q9H5I1
4927,Q9Y5Y4
8515,Q9Y6R4
39042,P69905
23994,Q9Y2D0
2170,Q9Y5Y4
643975,P21912
24768528,P08253
750,Q9Y3B4
92105,P02774
3062316,P54760
5330812,O43353
8172,P11597
5329102,P35916
23994,H3BLT4
25058136,P42892
8515,Q9P0L2
679,O00255
165339,Q9UBK8
1567,Q13813
60961,Q9Y5Y4
30819,P29353
190,Q9Y6R4
90206,Q13526
5957,P54652
854026,P22303
753,Q9Y3Y4
11120251,Q9UQ80
3696,P31645
5780,P02788
5329102,Q9BRS2
124886,Q9H4Y5
96876,Q9Y2D0
5329102,Q9UQM7
753,P24385
753,Q16853
448009,P17050
47811,Q9Y5Y4
23994,P23771
5960,Q9BZP6
16115004,Q9Y6R4
1567,Q3ZCW2
941651,Q9Y5Y4
444718,Q9UI42
25011732,P00734
535,Q05586
68841,Q9Y6R4
753,P13489
4748,Q9Y5Y4
5289227,P08238
5284596,Q9Y5Y4
644241,P10721
446094,Q12852
3372,P31645
5880,Q9BR01
888,P54760
151166,P35354
151171,P37288
448677,P00734
72194,P14625
753,Q9NRR6
5287541,Q9Y2D0
5029,Q9Y5Y4
176870,Q15303
156391,P35354
6419766,O96017
47811,Q9Y5Y4
888,Q9Y6R4
5326827,Q92731
24905142,P51451
753,Q99714
208898,Q12809
23994,Q86Y97
3062316,P51451
312145,Q15746
5572,Q9Y5Y4
441383,Q99720
439407,O95782
888,O43681
5212,Q9Y5Y4
11840955,P11217
221493,P24310
1337,P29475
5994,Q9Y6A2
750,Q6UX04
5312137,Q9H2G2
1986,Q9Y2D0
9958,Q6JVE9
8515,Q9Y6R4
68844,Q9Y2D0
5756,P03372
4369496,Q15046
5288834,P08236
888,P13637
33032,P49448
84815,P08294
753,Q30201
753,P14616
5288834,P53041
6106,P69905
11655511,P52732
3385,Q12882
1400,Q9UK32
753,P35228
3117,Q9Y5Y4
888,P49327
753,Q14031
126941,Q86XF0
753,Q8WUM4
44129603,Q9Y6R4
11840934,P43235
11992146,G5E948
23994,Q9ULW5
750,Q9HCN6
23994,P62266
44129642,P69905
82148,Q9Y5Y4
985,Q92753
5452,Q9Y5Y4
10403821,P03372
23994,O95786
23994,P60568
446073,Q92696
23994,Q9Y5K2
753,Q9Y2D0
23994,Q9NVJ2
44563262,P51451
